RFQQuoteID,PurchaseOrder,PurchaseOrderItem,Supplier,Material,NetPrice,PriceUnit,DeliveryDate,ValidityDate,QuoteStatus,Currency,PaymentTerms,DeliveryTerms,Comments
RFQ0024,4500000020,00020,VEND014,MAT010,12400.00,1,2025-09-10,2025-08-31,REJECTED,AUD,NT30,FOB,Lowest price but delivery timeline concerns
RFQ0025,4500000025,00010,VEND016,MAT009,34800.00,1,2025-10-01,2025-09-15,SUBMITTED,AUD,NT30,EXW,Luxury sedan with comprehensive service package
RFQ0026,4500000025,00010,VEND017,MAT009,34200.00,1,2025-10-05,2025-09-15,SUBMITTED,AUD,NT30,CIF,Premium vehicle with extended warranty
RFQ0027,4500000025,00020,VEND016,MAT010,13000.00,1,2025-10-01,2025-09-15,SUBMITTED,AUD,NT30,EXW,Compact car with low mileage
RFQ0028,4500000025,00020,VEND017,MAT010,12700.00,1,2025-10-05,2025-09-15,SUBMITTED,AUD,NT30,CIF,Economy vehicle in excellent condition
RFQ0029,4500000030,00010,VEND018,MAT009,35100.00,1,2025-10-10,2025-09-20,SUBMITTED,AUD,NT30,EXW,High-end luxury vehicle with premium features
RFQ0030,4500000030,00010,VEND019,MAT009,34600.00,1,2025-10-08,2025-09-20,SUBMITTED,AUD,NT30,CIF,Executive sedan with full documentation
RFQ0031,4500000030,00010,VEND001,MAT009,34900.00,1,2025-10-12,2025-09-20,SUBMITTED,AUD,NT30,FOB,Premium vehicle with comprehensive inspection
RFQ0032,4500000030,00020,VEND018,MAT010,13200.00,1,2025-10-10,2025-09-20,SUBMITTED,AUD,NT30,EXW,Compact car with modern safety features
RFQ0033,4500000030,00020,VEND019,MAT010,12800.00,1,2025-10-08,2025-09-20,SUBMITTED,AUD,NT30,CIF,Reliable city car with good fuel economy
RFQ0034,4500000030,00020,VEND001,MAT010,13100.00,1,2025-10-12,2025-09-20,SUBMITTED,AUD,NT30,FOB,Well-maintained vehicle with service history
RFQ0035,4500000045,00010,VEND020,MAT029,26800.00,1,2025-10-20,2025-10-05,SUBMITTED,AUD,NT30,EXW,Sports sedan with performance package
RFQ0036,4500000045,00010,VEND021,MAT029,27100.00,1,2025-10-18,2025-10-05,SUBMITTED,AUD,NT30,CIF,High-performance vehicle with racing heritage
RFQ0037,4500000045,00010,VEND022,MAT029,26500.00,1,2025-10-22,2025-10-05,SUBMITTED,AUD,NT30,FOB,Premium sports car with low mileage
RFQ0038,4500000045,00020,VEND020,MAT030,12900.00,1,2025-10-20,2025-10-05,SUBMITTED,AUD,NT30,EXW,Economy car with excellent reliability
RFQ0039,4500000045,00020,VEND021,MAT030,13000.00,1,2025-10-18,2025-10-05,SUBMITTED,AUD,NT30,CIF,Compact vehicle with modern technology
RFQ0040,4500000045,00020,VEND022,MAT030,12700.00,1,2025-10-22,2025-10-05,SUBMITTED,AUD,NT30,FOB,Budget-friendly car with good condition
